"","eventID","occurrenceID","recordedBy","measurementType","measurementValue","measurementUnit"
"1","1_1929-12-01","1_1929-12-01_A12","Edgar Anderson","sepal length",4.8,"cm"
"2","1_1929-12-01","1_1929-12-01_A12","Edgar Anderson","sepal width",3.4,"cm"
"3","1_1929-12-01","1_1929-12-01_A12","Edgar Anderson","petal length",1.6,"cm"
"4","1_1929-12-01","1_1929-12-01_A12","Edgar Anderson","petal width",0.2,"cm"
"5","1_1929-12-01","1_1929-12-01_A60","Edgar Anderson","sepal length",5.2,"cm"
"6","1_1929-12-01","1_1929-12-01_A60","Edgar Anderson","sepal width",2.7,"cm"
"7","1_1929-12-01","1_1929-12-01_A60","Edgar Anderson","petal length",3.9,"cm"
"8","1_1929-12-01","1_1929-12-01_A60","Edgar Anderson","petal width",1.4,"cm"
"9","1_1929-12-01","1_1929-12-01_A63","Edgar Anderson","sepal length",6,"cm"
"10","1_1929-12-01","1_1929-12-01_A63","Edgar Anderson","sepal width",2.2,"cm"
"11","1_1929-12-01","1_1929-12-01_A63","Edgar Anderson","petal length",4,"cm"
"12","1_1929-12-01","1_1929-12-01_A63","Edgar Anderson","petal width",1,"cm"
"13","1_1929-12-01","1_1929-12-01_A75","Edgar Anderson","sepal length",6.4,"cm"
"14","1_1929-12-01","1_1929-12-01_A75","Edgar Anderson","sepal width",2.9,"cm"
"15","1_1929-12-01","1_1929-12-01_A75","Edgar Anderson","petal length",4.3,"cm"
"16","1_1929-12-01","1_1929-12-01_A75","Edgar Anderson","petal width",1.3,"cm"
"17","3_1929-12-01","3_1929-12-01_A55","Edgar Anderson","sepal length",6.5,"cm"
"18","3_1929-12-01","3_1929-12-01_A55","Edgar Anderson","sepal width",2.8,"cm"
"19","3_1929-12-01","3_1929-12-01_A55","Edgar Anderson","petal length",4.6,"cm"
"20","3_1929-12-01","3_1929-12-01_A55","Edgar Anderson","petal width",1.5,"cm"
"21","3_1929-12-01","3_1929-12-01_A67","Edgar Anderson","sepal length",5.6,"cm"
"22","3_1929-12-01","3_1929-12-01_A67","Edgar Anderson","sepal width",3,"cm"
"23","3_1929-12-01","3_1929-12-01_A67","Edgar Anderson","petal length",4.5,"cm"
"24","3_1929-12-01","3_1929-12-01_A67","Edgar Anderson","petal width",1.5,"cm"
"25","3_1929-12-01","3_1929-12-01_A76","Edgar Anderson","sepal length",6.6,"cm"
"26","3_1929-12-01","3_1929-12-01_A76","Edgar Anderson","sepal width",3,"cm"
"27","3_1929-12-01","3_1929-12-01_A76","Edgar Anderson","petal length",4.4,"cm"
"28","3_1929-12-01","3_1929-12-01_A76","Edgar Anderson","petal width",1.4,"cm"
"29","3_1929-12-01","3_1929-12-01_A79","Edgar Anderson","sepal length",6,"cm"
"30","3_1929-12-01","3_1929-12-01_A79","Edgar Anderson","sepal width",2.9,"cm"
"31","3_1929-12-01","3_1929-12-01_A79","Edgar Anderson","petal length",4.5,"cm"
"32","3_1929-12-01","3_1929-12-01_A79","Edgar Anderson","petal width",1.5,"cm"
"33","3_1929-12-01","3_1929-12-01_A91","Edgar Anderson","sepal length",5.5,"cm"
"34","3_1929-12-01","3_1929-12-01_A91","Edgar Anderson","sepal width",2.6,"cm"
"35","3_1929-12-01","3_1929-12-01_A91","Edgar Anderson","petal length",4.4,"cm"
"36","3_1929-12-01","3_1929-12-01_A91","Edgar Anderson","petal width",1.2,"cm"
"37","1_1929-12-01","1_1929-12-01_A147","Edgar Anderson","sepal length",6.3,"cm"
"38","1_1929-12-01","1_1929-12-01_A147","Edgar Anderson","sepal width",2.5,"cm"
"39","1_1929-12-01","1_1929-12-01_A147","Edgar Anderson","petal length",5,"cm"
"40","1_1929-12-01","1_1929-12-01_A147","Edgar Anderson","petal width",1.9,"cm"
"41","1_1929-12-01","1_1929-12-01_A150","Edgar Anderson","sepal length",5.9,"cm"
"42","1_1929-12-01","1_1929-12-01_A150","Edgar Anderson","sepal width",3,"cm"
"43","1_1929-12-01","1_1929-12-01_A150","Edgar Anderson","petal length",5.1,"cm"
"44","1_1929-12-01","1_1929-12-01_A150","Edgar Anderson","petal width",1.8,"cm"
"45","2_1930-02-13","2_1930-02-13_A131","Edgar Anderson","sepal length",7.4,"cm"
"46","2_1930-02-13","2_1930-02-13_A131","Edgar Anderson","sepal width",2.8,"cm"
"47","2_1930-02-13","2_1930-02-13_A131","Edgar Anderson","petal length",6.1,"cm"
"48","2_1930-02-13","2_1930-02-13_A131","Edgar Anderson","petal width",1.9,"cm"
"49","3_1929-12-01","3_1929-12-01_A106","Edgar Anderson","sepal length",7.6,"cm"
"50","3_1929-12-01","3_1929-12-01_A106","Edgar Anderson","sepal width",3,"cm"
"51","3_1929-12-01","3_1929-12-01_A106","Edgar Anderson","petal length",6.6,"cm"
"52","3_1929-12-01","3_1929-12-01_A106","Edgar Anderson","petal width",2.1,"cm"
"53","3_1929-12-01","3_1929-12-01_A121","Edgar Anderson","sepal length",6.9,"cm"
"54","3_1929-12-01","3_1929-12-01_A121","Edgar Anderson","sepal width",3.2,"cm"
"55","3_1929-12-01","3_1929-12-01_A121","Edgar Anderson","petal length",5.7,"cm"
"56","3_1929-12-01","3_1929-12-01_A121","Edgar Anderson","petal width",2.3,"cm"
"57","3_1929-12-01","3_1929-12-01_A130","Edgar Anderson","sepal length",7.2,"cm"
"58","3_1929-12-01","3_1929-12-01_A130","Edgar Anderson","sepal width",3,"cm"
"59","3_1929-12-01","3_1929-12-01_A130","Edgar Anderson","petal length",5.8,"cm"
"60","3_1929-12-01","3_1929-12-01_A130","Edgar Anderson","petal width",1.6,"cm"
"61","1_1929-12-01","1_1929-12-01_A132","Edgar Anderson","sepal length",7.9,"cm"
"62","1_1929-12-01","1_1929-12-01_A132","Edgar Anderson","sepal width",3.8,"cm"
"63","1_1929-12-01","1_1929-12-01_A132","Edgar Anderson","petal length",6.4,"cm"
"64","1_1929-12-01","1_1929-12-01_A132","Edgar Anderson","petal width",2,"cm"
"65","1_1929-12-01","1_1929-12-01_A54","Edgar Anderson","sepal length",5.5,"cm"
"66","1_1929-12-01","1_1929-12-01_A54","Edgar Anderson","sepal width",2.3,"cm"
"67","1_1929-12-01","1_1929-12-01_A54","Edgar Anderson","petal length",4,"cm"
"68","1_1929-12-01","1_1929-12-01_A54","Edgar Anderson","petal width",1.3,"cm"
"69","1_1929-12-01","1_1929-12-01_A81","Edgar Anderson","sepal length",5.5,"cm"
