"","eventID","occurrenceID","scientificName","acceptedNameUsageID","recordedBy","taxonRank","organismQuantityType","basisOfRecord"
"1","1_1929-12-01","1_1929-12-01_A12","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"2","1_1929-12-01","1_1929-12-01_A60","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"3","1_1929-12-01","1_1929-12-01_A63","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"4","1_1929-12-01","1_1929-12-01_A75","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"5","3_1929-12-01","3_1929-12-01_A55","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"6","3_1929-12-01","3_1929-12-01_A67","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"7","3_1929-12-01","3_1929-12-01_A76","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"8","3_1929-12-01","3_1929-12-01_A79","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"9","3_1929-12-01","3_1929-12-01_A91","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"10","1_1929-12-01","1_1929-12-01_A147","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"11","1_1929-12-01","1_1929-12-01_A150","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"12","2_1930-02-13","2_1930-02-13_A131","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"13","3_1929-12-01","3_1929-12-01_A106","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"14","3_1929-12-01","3_1929-12-01_A121","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"15","3_1929-12-01","3_1929-12-01_A130","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"16","1_1929-12-01","1_1929-12-01_A132","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"17","1_1929-12-01","1_1929-12-01_A54","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"18","1_1929-12-01","1_1929-12-01_A81","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"19","1_1929-12-01","1_1929-12-01_A42","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"20","1_1929-12-01","1_1929-12-01_A27","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"21","1_1929-12-01","1_1929-12-01_A129","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"22","1_1929-12-01","1_1929-12-01_A18","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"23","2_1930-02-13","2_1930-02-13_A77","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"24","2_1930-02-13","2_1930-02-13_A2","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"25","2_1930-02-13","2_1930-02-13_A32","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"26","2_1930-02-13","2_1930-02-13_A74","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"27","2_1930-02-13","2_1930-02-13_A137","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"28","2_1930-02-13","2_1930-02-13_A110","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"29","3_1929-12-01","3_1929-12-01_A43","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"30","3_1929-12-01","3_1929-12-01_A124","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"31","1_1929-12-01","1_1929-12-01_A39","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"32","2_1930-02-13","2_1930-02-13_A39","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"33","3_1929-12-01","3_1929-12-01_A25","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"34","3_1929-12-01","3_1929-12-01_A34","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"35","3_1929-12-01","3_1929-12-01_A49","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"36","3_1929-12-01","3_1929-12-01_A4","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"37","1_1929-12-01","1_1929-12-01_A57","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"38","1_1929-12-01","1_1929-12-01_A66","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"39","2_1930-02-13","2_1930-02-13_A71","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"40","1_1929-12-01","1_1929-12-01_A111","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"41","1_1929-12-01","1_1929-12-01_A138","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"42","2_1930-02-13","2_1930-02-13_A104","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"43","2_1930-02-13","2_1930-02-13_A128","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"44","2_1930-02-13","2_1930-02-13_A143","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
